Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24559650,Dragons at Crumbling Castle: And Other Tales,Terry Pratchett,"Pratchett, Terry",Mark Beech,"=""""","=""""",5,3.77,Clarion Books,Kindle Edition,357,2015,2014,,2020/02/11,young-adult,young-adult (#26),read,,,,1,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",5,4.25,William Morrow,Mass Market Paperback,491,2006,1990,,2020/06/03,young-adult,young-adult (#25),read,The Ineffable Con 2 Zine<br/><br/>https://vk.com/ekashirin?w=wall183922_3530,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",5,4.10,William Morrow Paperbacks,Paperback,176,2006,2002,,2020/04/19,"english-language-learning-track, young-adult","english-language-learning-track (#4), young-adult (#23)",read,"Very cool:)<br/>I read it, and then watch a cartoon.<br/>https://vk.com/ekashirin?z=video72748152_161619964%2Fpl_wall_183922",,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2019/11/21,young-adult,young-adult (#22),read,,,,1,0
507859,Rumpelstiltskin and Other Grimm Tales,Jacob Grimm,"Grimm, Jacob",Markéta Prachatická,"=""0571196314""","=""9780571196319""",5,3.93,Faber & Faber Ltd,Paperback,208,1999,1999,2020/01/31,2020/12/02,"english-language-learning-track, young-adult","english-language-learning-track (#1), young-adult (#19)",read,recollect in the way learning language <br/><br/>https://www.facebook.com/groups/189637732185577/permalink/196278441521506/,,,1,0
32075825,"The Rise and Fall of D.O.D.O. (D.O.D.O., #1)",Neal Stephenson,"Stephenson, Neal",Nicole Galland,"=""0062409166""","=""9780062409164""",5,3.86,William Morrow,Hardcover,752,2017,2017,2020/02/29,2020/12/02,young-adult,young-adult (#18),read,,,,1,0
43521657,The Ten Thousand Doors of January,Alix E. Harrow,"Harrow, Alix E.",,"=""0316421995""","=""9780316421997""",5,4.04,Redhook,Hardcover,374,2019,2019,2020/06/11,2020/06/10,"english-language-learning-track, young-adult","english-language-learning-track (#6), young-adult (#13)",read,"Cool:)<br/>Because in this month I also had read Coraline and after watched cartoon, and read The Graveyard Book with record how Neil Gaiman to read them aloud. <br/>I had additional visualization somewhere between them.   <br/><br/>And on Orbit live was presentations where first chapter was read aloud:<br/>https://www.crowdcast.io/e/alix-e-harrow-at-mysterious-galaxy-may2020?utm_source=profile&utm_medium=profile_web&utm_campaign=profile<br/>https://www.crowdcast.io/e/alix-e-harrow-at-malaprops-may2020/register?utm_source=profile&utm_medium=profile_web&utm_campaign=profile<br/>https://www.crowdcast.io/e/alix-e-harrow-at-women-and-children-first-may2020?utm_source=profile&utm_medium=profile_web&utm_campaign=profile",,,1,0
34496,The Unadulterated Cat,Terry Pratchett,"Pratchett, Terry","Gray Jolliffe, Marguerite Schneider-English","=""0752853694""","=""9780752853697""",0,3.82,Gollancz,Hardcover,157,2004,1989,2020/10/03,2020/12/02,young-adult,young-adult (#11),read,,,,1,0
50548197,"A Deadly Education (The Scholomance, #1)",Naomi Novik,"Novik, Naomi",,"=""0593128486""","=""9780593128480""",5,4.00,Del Rey,Hardcover,336,2020,2020,2020/07/16,2020/12/02,"english-language-learning-track, young-adult","english-language-learning-track (#2), young-adult (#9)",read,collection of links on life reading by Naomi Novik<br/>https://vk.com/wall-190294791_1275,,,2,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.10,Harper Perennial,Paperback,248,2006,1998,2020/11/15,2020/12/02,young-adult,young-adult (#8),read,,,,1,0
